OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
157,06067007417,157,2740.000000000000000,2466000.000000000000000,-0.255227092260590
158,06067007414,158,1590.000000000000000,1431000.000000000000000,-0.208897394073084
159,06067007202,159,11899.000000000000000,10709100.000000000000000,-0.247340476907793
160,06067005204,160,4112.000000000000000,3700800.000000000000000,-0.161744794889638
161,06067004702,161,1715.000000000000000,1543500.000000000000000,-0.188431629672125
162,06067004701,162,1550.000000000000000,1395000.000000000000000,-0.137493267249196
163,06067004502,163,3005.000000000000000,2704500.000000000000000,-0.123759112584964
164,06067004501,164,1995.000000000000000,1795500.000000000000000,-0.158095222915917
165,06067003204,165,1780.000000000000000,1602000.000000000000000,-0.193044460313709
166,06067001101,166,1743.000000000000000,1568700.000000000000000,-0.153373824890869
167,06067009639,167,3179.000000000000000,2861100.000000000000000,-0.190556008738447
168,06067009636,168,3298.000000000000000,2968200.000000000000000,-0.192871692635033
169,06067004300,169,4196.000000000000000,3776400.000000000000000,-0.189558769746047
170,06067004203,170,1820.000000000000000,1638000.000000000000000,-0.178457856380923
171,06067004202,171,1824.000000000000000,1641600.000000000000000,-0.214759622824331
172,06067004201,172,2102.000000000000000,1891800.000000000000000,-0.219494129542605
173,06067004100,173,2262.000000000000000,2035800.000000000000000,-0.183676886224870
174,06067004008,174,1840.000000000000000,1656000.000000000000000,-0.208305665113426
175,06067004006,175,2183.000000000000000,1964700.000000000000000,-0.210117372600029
176,06067004005,176,2411.000000000000000,2169900.000000000000000,-0.175649837147497
177,06067004004,177,3343.000000000000000,3008700.000000000000000,-0.199634919952893
178,06067008504,178,7131.000000000000000,6417900.000000000000000,-0.184379691368260
179,06067007001,179,3724.000000000000000,3351600.000000000000000,-0.225756252261225
180,06067004801,180,2077.000000000000000,1869300.000000000000000,-0.175355786175616
181,06067004601,181,2517.000000000000000,2265300.000000000000000,-0.201151538011609
182,06067004402,182,1383.000000000000000,1244700.000000000000000,-0.212149379865838
183,06067004401,183,1536.000000000000000,1382400.000000000000000,-0.199870356265289
184,06067003202,184,1838.000000000000000,1654200.000000000000000,-0.187619512750924
185,06067003000,185,2881.000000000000000,2592900.000000000000000,-0.227536462186679
186,06067009110,186,668.000000000000000,601200.000000000000000,-0.160137029518066
187,06067009635,187,9080.000000000000000,8172000.000000000000000,-0.212730413752850
188,06067009633,188,783.000000000000000,704700.000000000000000,-0.185492573194158
189,06067009632,189,2484.000000000000000,2235600.000000000000000,-0.177325651985436
190,06067009630,190,3027.000000000000000,2724300.000000000000000,-0.173898351351972
191,06067009408,191,18032.000000000000000,16228800.000000000000000,-0.283934801407626
192,06067009331,192,2898.000000000000000,2608200.000000000000000,-0.190834302968410
193,06067009330,193,6583.000000000000000,5924700.000000000000000,-0.264359709643904
194,06067009329,194,2219.000000000000000,1997100.000000000000000,-0.214369234636110
